kd_kab,total,SUBMITTED BY Pencacah,OPEN,prov_id,name,time_stamp,type,COMPLETED BY Pengawas,REJECTED BY Pengawas,COMPLETED BY PML,APPROVED BY Admin Kabupaten,assigned,have-not-assigned
4242BIK,43,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-17 12:56:06,user_assignment,,,,,43.0,0.0
9471,228,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,228.0,0.0
9403,119,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,119.0,0.0
9409,79,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,79.0,0.0
9420,72,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,72.0,0.0
9408,28,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,28.0,0.0
9419,21,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,21.0,0.0
9426,4,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,4.0,0.0
9427,3,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,3.0,0.0
9428,1,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,1.0,0.0
9501,461,,,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,461.0,0.0
9504,35,,,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,35.0,0.0
9502,33,,,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,33.0,0.0
9503,23,,,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,23.0,0.0
9601,269,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,269.0,0.0
9604,160,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,160.0,0.0
9608,17,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,17.0,0.0
9605,12,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,12.0,0.0
9607,7,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,7.0,0.0
9602,5,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,5.0,0.0
9603,4,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,4.0,0.0
9606,1,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,1.0,0.0
9702,43,,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,43.0,0.0
9704,9,,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,9.0,0.0
9708,7,,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,7.0,0.0
9703,6,,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,6.0,0.0
9706,5,,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,5.0,0.0
9707,3,,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,3.0,0.0
9701,1,,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:06,user_assignment,,,,,1.0,0.0
4242JYP,36141,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-17 12:56:07,user_assignment,,,,,21023.0,15118.0
4242SOR,25983,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-17 12:56:07,user_assignment,,,,,25205.0,778.0
4242BIK,13004,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-17 12:56:07,user_assignment,,,,,12977.0,27.0
4242MNK,8650,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-17 12:56:07,user_assignment,,,,,8468.0,182.0
4242NBR,5515,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-17 12:56:07,user_assignment,,,,,5515.0,0.0
4242MRK,4975,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-17 12:56:07,user_assignment,,,,,4885.0,90.0
4242TMK,3200,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-17 12:56:07,user_assignment,,,,,3200.0,0.0
