kd_kab,total,OPEN,prov_id,name,time_stamp,type,APPROVED BY ADMIN KABUPATEN,COMPLETED BY Admin Kabupaten,EDITED BY Admin Kabupaten,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,SUBMITTED BY Pencacah,APPROVED BY ADMIN PROVINSI,APPROVED BY PENGAWAS,COMPLETED BY ADMIN PROVINSI,DRAFT,SUBMITTED RESPONDENT,APPROVED BY Admin Kabupaten,EDITED BY Admin Pusat,assigned,have-not-assigned
9471,1.0,1.0,94,SURVEI CAPTIVE POWER 2025 (CAWI),2026-02-23 08:46:26,progress,,,,,,,,,,,,,,,,
9408,1.0,,94,SURVEI TRIWULANAN PELAKU USAHA,2026-02-23 08:46:27,progress,,1.0,,,,,,,,,,,,,,
9601,1.0,,96,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR KOMODITAS 2024 (SKIM),2026-02-23 08:46:27,progress,,,,,,,,,,,,,1.0,,,
9471,1.0,,94,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR KOMODITAS 2024 (SKIM),2026-02-23 08:46:27,progress,,,,,,,,,,,,,1.0,,,
9702,4.0,,97,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-23 08:46:27,progress,,,,,4.0,,,,,,,,,,,
9501,5.0,,95,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-23 08:46:27,progress,,,,,,,,,,,,,5.0,,,
9502,3.0,1.0,95,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-23 08:46:27,progress,,,,,,,,,,,,,2.0,,,
9471,6.0,,94,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-23 08:46:28,progress,,,,,,,,,,,,,6.0,,,
9403,5.0,,94,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-23 08:46:28,progress,,,,,,,,,,,,,5.0,,,
9409,4.0,,94,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-23 08:46:28,progress,,,,,,,,,,,,,4.0,,,
9408,1.0,,94,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-23 08:46:28,progress,,,,,,,,,,,,,1.0,,,
9420,1.0,1.0,94,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-23 08:46:28,progress,,,,,,,,,,,,,,,,
9601,6.0,,96,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-23 08:46:28,progress,,,,,2.0,,,,,,,,4.0,,,
9604,3.0,1.0,96,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-23 08:46:28,progress,,,,,2.0,,,,,,,,,,,
9702,74.0,,97,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,11.0,,,63.0,,,,,,,,,,,
9707,30.0,17.0,97,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,13.0,,,,,,,,,,,,,,
9704,29.0,29.0,97,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,,,,,,,,,,,,,,,
9708,25.0,25.0,97,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,,,,,,,,,,,,,,,
9706,8.0,,97,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,2.0,,,6.0,,,,,,,,,,,
9701,7.0,,97,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,,,,7.0,,,,,,,,,,,
9705,4.0,,97,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,1.0,,,3.0,,,,,,,,,,,
9703,3.0,3.0,97,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,,,,,,,,,,,,,,,
9471,118.0,,94,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,118.0,,,,,,,,,,,,,,
9403,47.0,1.0,94,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,45.0,,,1.0,,,,,,,,,,,
9419,24.0,3.0,94,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,20.0,,,,,1.0,,,,,,,,,
9426,24.0,3.0,94,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,21.0,,,,,,,,,,,,,,
9408,20.0,,94,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,20.0,,,,,,,,,,,,,,
9409,20.0,,94,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,20.0,,,,,,,,,,,,,,
9420,18.0,1.0,94,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,13.0,,,4.0,,,,,,,,,,,
9428,9.0,,94,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,8.0,,,,1.0,,,,,,,,,,
9427,5.0,,94,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,5.0,,,,,,,,,,,,,,
9601,244.0,162.0,96,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,77.0,,,,,5.0,,,,,,,,,
9608,20.0,,96,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,20.0,,,,,,,,,,,,,,
9605,13.0,,96,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,13.0,,,,,,,,,,,,,,
9604,12.0,8.0,96,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,4.0,,,,,,,,,,,,,,
9603,7.0,,96,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,7.0,,,,,,,,,,,,,,
9606,6.0,,96,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,6.0,,,,,,,,,,,,,,
9607,6.0,,96,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,6.0,,,,,,,,,,,,,,
9602,3.0,,96,Pencacahan SKTH 2024,2026-02-23 08:46:28,progress,,3.0,,,,,,,,,,,,,,
9702,4.0,,97,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL - 2025,2026-02-23 08:46:28,progress,,4.0,,,,,,,,,,,,,,
9501,18.0,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL - 2025,2026-02-23 08:46:28,progress,,16.0,,,,,,,,,,,,2.0,,
9502,3.0,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL - 2025,2026-02-23 08:46:28,progress,,3.0,,,,,,,,,,,,,,
9420,1.0,,94,SURVEI TRIWULANAN PERUSAHAAN PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI 2025,2026-02-23 08:46:27,progress,,,,,,,,1.0,,,,,,,,
