prov_id,name,time_stamp,type,kd_kab,total,COMPLETED BY Admin Kabupaten,APPROVED BY Pengawas,EDITED BY Admin Kabupaten,OPEN,REVOKED BY Admin Kabupaten,REJECTED BY Pengawas,APPROVED BY ADMIN KABUPATEN,APPROVED BY ADMIN PROVINSI,APPROVED BY PENGAWAS,COMPLETED BY ADMIN PROVINSI,APPROVED BY Admin Kabupaten,DRAFT,SUBMITTED RESPONDENT,SUBMITTED BY Pencacah,EDITED BY Admin Pusat,assigned,have-not-assigned
96,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9605,13.0,13.0,,,,,,,,,,,,,,,,
96,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9604,12.0,4.0,,,8.0,,,,,,,,,,,,,
96,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9603,7.0,7.0,,,,,,,,,,,,,,,,
96,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9606,6.0,6.0,,,,,,,,,,,,,,,,
96,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9607,6.0,6.0,,,,,,,,,,,,,,,,
96,Pencacahan SKTH 2024,2026-02-27 10:20:48,progress,9602,3.0,3.0,,,,,,,,,,,,,,,,
94,SURVEI TRIWULANAN PERUSAHAAN AIR BERSIH 2025,2026-02-27 10:20:48,progress,9408,1.0,,,,,,,1.0,,,,,,,,,,
94,SURVEI TRIWULANAN PERUSAHAAN AIR BERSIH 2025,2026-02-27 10:20:48,progress,9409,1.0,,,,,,,1.0,,,,,,,,,,
94,SURVEI TRIWULANAN PERUSAHAAN AIR BERSIH 2025,2026-02-27 10:20:48,progress,9471,1.0,,,,,,,1.0,,,,,,,,,,
95,SURVEI TRIWULANAN PERUSAHAAN AIR BERSIH 2025,2026-02-27 10:20:48,progress,9501,1.0,,,,,,,1.0,,,,,,,,,,
96,SURVEI TRIWULANAN PERUSAHAAN AIR BERSIH 2025,2026-02-27 10:20:48,progress,9604,1.0,,,,,,,1.0,,,,,,,,,,
97,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL - 2025,2026-02-27 10:20:48,progress,9702,4.0,4.0,,,,,,,,,,,,,,,,
95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL - 2025,2026-02-27 10:20:48,progress,9501,18.0,16.0,,,,,,,,,,,,,,2.0,,
95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL - 2025,2026-02-27 10:20:48,progress,9502,3.0,3.0,,,,,,,,,,,,,,,,
97,PENCACAHAN SKTR 2025,2026-02-27 10:20:49,progress,9702,29.0,29.0,,,,,,,,,,,,,,,,
97,PENCACAHAN SKTR 2025,2026-02-27 10:20:49,progress,9704,8.0,,,,8.0,,,,,,,,,,,,,
97,PENCACAHAN SKTR 2025,2026-02-27 10:20:49,progress,9708,7.0,,,,7.0,,,,,,,,,,,,,
97,PENCACAHAN SKTR 2025,2026-02-27 10:20:49,progress,9701,2.0,2.0,,,,,,,,,,,,,,,,
97,PENCACAHAN SKTR 2025,2026-02-27 10:20:49,progress,9705,2.0,2.0,,,,,,,,,,,,,,,,
97,PENCACAHAN SKTR 2025,2026-02-27 10:20:49,progress,9706,2.0,2.0,,,,,,,,,,,,,,,,
97,PENCACAHAN SKTR 2025,2026-02-27 10:20:49,progress,9707,1.0,,,,1.0,,,,,,,,,,,,,
94,PENCACAHAN SKTR 2025,2026-02-27 10:20:49,progress,9471,49.0,49.0,,,,,,,,,,,,,,,,
94,PENCACAHAN SKTR 2025,2026-02-27 10:20:49,progress,9403,17.0,6.0,4.0,,4.0,,,,,,,,,,3.0,,,
