kd_kab,total,COMPLETED BY Admin Kabupaten,OPEN,prov_id,name,time_stamp,type,EDITED BY Admin Kabupaten,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,SUBMITTED BY Pencacah,EDITED BY Admin Pusat,assigned,have-not-assigned
9504,40.0,43.0,0.0,95,IMK Triwulanan 2025 - PENCACAHAN,2026-03-10 11:42:33,progress,,,,,,,,
9503,37.0,37.0,0.0,95,IMK Triwulanan 2025 - PENCACAHAN,2026-03-10 11:42:33,progress,,,,,,,,
9601,124.0,125.0,0.0,96,IMK Triwulanan 2025 - PENCACAHAN,2026-03-10 11:42:33,progress,,,,,,,,
9604,77.0,78.0,0.0,96,IMK Triwulanan 2025 - PENCACAHAN,2026-03-10 11:42:33,progress,,,,,,,,
9603,27.0,27.0,0.0,96,IMK Triwulanan 2025 - PENCACAHAN,2026-03-10 11:42:33,progress,,,,,,,,
9608,21.0,21.0,0.0,96,IMK Triwulanan 2025 - PENCACAHAN,2026-03-10 11:42:33,progress,,,,,,,,
9704,31.0,31.0,0.0,97,IMK Triwulanan 2025 - PENCACAHAN,2026-03-10 11:42:34,progress,,,,,,,,
9702,15.0,,0.0,97,IMK Triwulanan 2025 - PENCACAHAN,2026-03-10 11:42:34,progress,,,15.0,,,,,
9702,4.0,4.0,,97,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL - 2025,2026-03-10 11:42:34,progress,,,,,,,,
9501,18.0,16.0,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL - 2025,2026-03-10 11:42:34,progress,,,,,,2.0,,
9502,3.0,3.0,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL - 2025,2026-03-10 11:42:34,progress,,,,,,,,
9704,8.0,,8.0,97,PENCACAHAN SKTR 2025,2026-03-10 11:42:34,progress,,,,,,,,
9708,7.0,,7.0,97,PENCACAHAN SKTR 2025,2026-03-10 11:42:34,progress,,,,,,,,
9707,1.0,,1.0,97,PENCACAHAN SKTR 2025,2026-03-10 11:42:34,progress,,,,,,,,
9403,7.0,,4.0,94,PENCACAHAN SKTR 2025,2026-03-10 11:42:34,progress,,,,,3.0,,,
9420,4.0,,4.0,94,PENCACAHAN SKTR 2025,2026-03-10 11:42:34,progress,,,,,,,,
9409,3.0,,3.0,94,PENCACAHAN SKTR 2025,2026-03-10 11:42:34,progress,,,,,,,,
9419,1.0,,,94,PENCACAHAN SKTR 2025,2026-03-10 11:42:34,progress,,,,,1.0,,,
9501,6.0,,6.0,95,PENCACAHAN SKTR 2025,2026-03-10 11:42:34,progress,,,,,,,,
9502,6.0,,,95,PENCACAHAN SKTR 2025,2026-03-10 11:42:34,progress,,,,,6.0,,,
9503,1.0,,1.0,95,PENCACAHAN SKTR 2025,2026-03-10 11:42:34,progress,,,,,,,,
9601,32.0,,,96,PENCACAHAN SKTR 2025,2026-03-10 11:42:34,progress,,,,,32.0,,,
9604,4.0,,4.0,96,PENCACAHAN SKTR 2025,2026-03-10 11:42:34,progress,,,,,,,,
9607,3.0,,3.0,96,PENCACAHAN SKTR 2025,2026-03-10 11:42:34,progress,,,,,,,,
9702,13.0,,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:35,user_assignment,,,,,,,13.0,0.0
9704,8.0,,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:35,user_assignment,,,,,,,8.0,0.0
9701,1.0,,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:35,user_assignment,,,,,,,1.0,0.0
9705,1.0,,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:35,user_assignment,,,,,,,1.0,0.0
9708,1.0,,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:35,user_assignment,,,,,,,1.0,0.0
9471,27.0,,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:36,user_assignment,,,,,,,27.0,0.0
9403,12.0,,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:36,user_assignment,,,,,,,11.0,1.0
9426,7.0,,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:36,user_assignment,,,,,,,7.0,0.0
9409,5.0,,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:36,user_assignment,,,,,,,2.0,3.0
9408,4.0,,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:36,user_assignment,,,,,,,4.0,0.0
9420,2.0,,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:36,user_assignment,,,,,,,2.0,0.0
9419,1.0,,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:36,user_assignment,,,,,,,1.0,0.0
9601,48.0,,,96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:35,user_assignment,,,,,,,24.0,24.0
9604,2.0,,,96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:35,user_assignment,,,,,,,2.0,0.0
9501,32.0,,,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:36,user_assignment,,,,,,,21.0,11.0
9502,6.0,,,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:36,user_assignment,,,,,,,6.0,0.0
9504,2.0,,,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:36,user_assignment,,,,,,,2.0,0.0
9501,585.0,,,95,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:35,user_assignment,,,,,,,458.0,127.0
9502,72.0,,,95,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:35,user_assignment,,,,,,,72.0,0.0
9504,60.0,,,95,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:35,user_assignment,,,,,,,60.0,0.0
9503,43.0,,,95,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:35,user_assignment,,,,,,,43.0,0.0
9471,410.0,,,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:36,user_assignment,,,,,,,295.0,115.0
9409,353.0,,,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:36,user_assignment,,,,,,,353.0,0.0
9403,134.0,,,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:36,user_assignment,,,,,,,127.0,7.0
9420,107.0,,,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:36,user_assignment,,,,,,,107.0,0.0
9408,50.0,,,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:36,user_assignment,,,,,,,50.0,0.0
9419,42.0,,,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:36,user_assignment,,,,,,,42.0,0.0
9426,30.0,,,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:36,user_assignment,,,,,,,30.0,0.0
9427,29.0,,,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:36,user_assignment,,,,,,,29.0,0.0
9428,6.0,,,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:36,user_assignment,,,,,,,6.0,0.0
9601,362.0,,,96,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:35,user_assignment,,,,,,,258.0,104.0
9604,276.0,,,96,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:35,user_assignment,,,,,,,276.0,0.0
9608,74.0,,,96,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:35,user_assignment,,,,,,,58.0,16.0
9603,41.0,,,96,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:35,user_assignment,,,,,,,41.0,0.0
9704,27.0,,,97,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:35,user_assignment,,,,,,,27.0,0.0
9702,19.0,,,97,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:35,user_assignment,,,,,,,19.0,0.0
9471,1.0,,,94,SURVEI TAHUNAN PERUSAHAAN LISTRIK TAHUN 2025,2026-03-10 11:42:36,user_assignment,,,,,,,1.0,0.0
9408,1.0,,,94,SURVEI TRIWULANAN PELAKU USAHA,2026-03-10 11:42:36,user_assignment,,,,,,,1.0,0.0
9704,941.0,,,97,IMK Tahunan 2025 - Listing,2026-03-10 11:42:36,user_assignment,,,,,,,941.0,0.0
9702,642.0,,,97,IMK Tahunan 2025 - Listing,2026-03-10 11:42:36,user_assignment,,,,,,,642.0,0.0
9501,9017.0,,,95,IMK Tahunan 2025 - Listing,2026-03-10 11:42:36,user_assignment,,,,,,,9017.0,0.0
9502,3747.0,,,95,IMK Tahunan 2025 - Listing,2026-03-10 11:42:36,user_assignment,,,,,,,3747.0,0.0
9504,380.0,,,95,IMK Tahunan 2025 - Listing,2026-03-10 11:42:36,user_assignment,,,,,,,380.0,0.0
9503,312.0,,,95,IMK Tahunan 2025 - Listing,2026-03-10 11:42:36,user_assignment,,,,,,,312.0,0.0
9604,5920.0,,,96,IMK Tahunan 2025 - Listing,2026-03-10 11:42:36,user_assignment,,,,,,,5920.0,0.0
9601,3998.0,,,96,IMK Tahunan 2025 - Listing,2026-03-10 11:42:36,user_assignment,,,,,,,3998.0,0.0
9608,805.0,,,96,IMK Tahunan 2025 - Listing,2026-03-10 11:42:36,user_assignment,,,,,,,805.0,0.0
9603,352.0,,,96,IMK Tahunan 2025 - Listing,2026-03-10 11:42:36,user_assignment,,,,,,,352.0,0.0
9471,7004.0,,,94,IMK Tahunan 2025 - Listing,2026-03-10 11:42:36,user_assignment,,,,,,,7004.0,0.0
9420,2203.0,,,94,IMK Tahunan 2025 - Listing,2026-03-10 11:42:36,user_assignment,,,,,,,2203.0,0.0
9403,2171.0,,,94,IMK Tahunan 2025 - Listing,2026-03-10 11:42:36,user_assignment,,,,,,,2171.0,0.0
9409,1697.0,,,94,IMK Tahunan 2025 - Listing,2026-03-10 11:42:36,user_assignment,,,,,,,1697.0,0.0
9427,698.0,,,94,IMK Tahunan 2025 - Listing,2026-03-10 11:42:36,user_assignment,,,,,,,698.0,0.0
9419,575.0,,,94,IMK Tahunan 2025 - Listing,2026-03-10 11:42:36,user_assignment,,,,,,,575.0,0.0
9426,454.0,,,94,IMK Tahunan 2025 - Listing,2026-03-10 11:42:36,user_assignment,,,,,,,454.0,0.0
9408,374.0,,,94,IMK Tahunan 2025 - Listing,2026-03-10 11:42:36,user_assignment,,,,,,,374.0,0.0
9428,126.0,,,94,IMK Tahunan 2025 - Listing,2026-03-10 11:42:36,user_assignment,,,,,,,126.0,0.0
9471,42.0,,,94,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:36,user_assignment,,,,,,,0.0,42.0
9403,28.0,,,94,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:36,user_assignment,,,,,,,14.0,14.0
9427,21.0,,,94,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:36,user_assignment,,,,,,,0.0,21.0
9409,18.0,,,94,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:36,user_assignment,,,,,,,18.0,0.0
9408,16.0,,,94,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:36,user_assignment,,,,,,,0.0,16.0
9420,14.0,,,94,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:36,user_assignment,,,,,,,0.0,14.0
