kd_kab,total,OPEN,prov_id,name,time_stamp,type,COMPLETED BY Admin Kabupaten,EDITED BY Admin Kabupaten,SUBMITTED BY Pencacah,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,EDITED BY Admin Pusat,assigned,have-not-assigned
9704,29.0,29.0,97,Pencacahan SKTH 2024,2026-03-11 08:14:41,progress,,,,,,,,,
9708,25.0,25.0,97,Pencacahan SKTH 2024,2026-03-11 08:14:41,progress,,,,,,,,,
9707,17.0,17.0,97,Pencacahan SKTH 2024,2026-03-11 08:14:41,progress,,,,,,,,,
9703,3.0,3.0,97,Pencacahan SKTH 2024,2026-03-11 08:14:41,progress,,,,,,,,,
9419,4.0,3.0,94,Pencacahan SKTH 2024,2026-03-11 08:14:41,progress,,,1.0,,,,,,
9426,3.0,3.0,94,Pencacahan SKTH 2024,2026-03-11 08:14:41,progress,,,,,,,,,
9403,1.0,1.0,94,Pencacahan SKTH 2024,2026-03-11 08:14:41,progress,,,,,,,,,
9420,1.0,1.0,94,Pencacahan SKTH 2024,2026-03-11 08:14:41,progress,,,,,,,,,
9601,166.0,161.0,96,Pencacahan SKTH 2024,2026-03-11 08:14:41,progress,,,5.0,,,,,,
9604,8.0,8.0,96,Pencacahan SKTH 2024,2026-03-11 08:14:41,progress,,,,,,,,,
9419,16.0,16.0,94,SURVEI CAPTIVE POWER 2025,2026-03-11 08:14:41,progress,,,,,,,,,
9408,7.0,7.0,94,SURVEI CAPTIVE POWER 2025,2026-03-11 08:14:41,progress,,,,,,,,,
9604,21.0,21.0,96,SURVEI CAPTIVE POWER 2025,2026-03-11 08:14:41,progress,,,,,,,,,
9602,1.0,1.0,96,SURVEI CAPTIVE POWER 2025,2026-03-11 08:14:41,progress,,,,,,,,,
9471,95.0,0.0,94,IMK Triwulanan 2025 - PENCACAHAN,2026-03-11 08:14:42,progress,96.0,,,,,,,,
9419,50.0,0.0,94,IMK Triwulanan 2025 - PENCACAHAN,2026-03-11 08:14:42,progress,50.0,,,,,,,,
9408,41.0,0.0,94,IMK Triwulanan 2025 - PENCACAHAN,2026-03-11 08:14:42,progress,,,,,41.0,,,,
9409,28.0,0.0,94,IMK Triwulanan 2025 - PENCACAHAN,2026-03-11 08:14:42,progress,33.0,,,,,,,,
9420,33.0,0.0,94,IMK Triwulanan 2025 - PENCACAHAN,2026-03-11 08:14:42,progress,33.0,,,,,,,,
9427,29.0,0.0,94,IMK Triwulanan 2025 - PENCACAHAN,2026-03-11 08:14:42,progress,,,,,29.0,,,,
9403,16.0,0.0,94,IMK Triwulanan 2025 - PENCACAHAN,2026-03-11 08:14:42,progress,16.0,,,,,,,,
9426,10.0,0.0,94,IMK Triwulanan 2025 - PENCACAHAN,2026-03-11 08:14:42,progress,10.0,,,,,,,,
