kd_kab,total,COMPLETED BY Admin Kabupaten,OPEN,EDITED BY Admin Kabupaten,prov_id,name,time_stamp,type,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,SUBMITTED BY Pencacah,APPROVED BY ADMIN KABUPATEN,COMPLETED BY ADMIN PROVINSI,APPROVED BY PENGAWAS,DRAFT,SUBMITTED RESPONDENT,APPROVED BY ADMIN PROVINSI,APPROVED BY Admin Kabupaten,EDITED BY Admin Pusat,assigned,have-not-assigned
9706,1.0,,,,97,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,,,,,,1.0,,,,
9471,62.0,,,,94,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,62.0,,,,,,,,,
9403,52.0,,,,94,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,52.0,,,,,,,,,
9409,35.0,,,,94,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,35.0,,,,,,,,,
9419,16.0,,16.0,,94,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,,,,,,,,,,
9408,13.0,,7.0,,94,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,,,6.0,,,,,,,
9426,8.0,,,,94,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,8.0,,,,,,,,,
9420,7.0,,,,94,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,6.0,,,,,1.0,,,,
9427,4.0,,,,94,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,4.0,,,,,,,,,
9428,2.0,,,,94,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,,,2.0,,,,,,,
9604,21.0,,21.0,,96,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,,,,,,,,,,
9601,14.0,,,,96,SURVEI CAPTIVE POWER 2025,2026-02-20 09:26:43,progress,,,,,14.0,,,,,,,,,
